,,W,N
Bosque11,Bosque,-70.10901,1.13868
Bosque12,Bosque,-70.10651,1.13995
Bosque13,Bosque,-70.10373,1.13968
Bosque21,Bosque,-70.20557,1.16815
Bosque22,Bosque,-70.20336,1.16657
Bosque23,Bosque,-70.20146,1.16658
Bosque31,Bosque,-70.1969,1.1533
Bosque32,Bosque,-70.19496,1.15514
Bosque33,Bosque,-70.19387,1.15651
Chagra11,Chagra,-70.19151,1.21487
Chagra12,Chagra,-70.19262,1.21765
Chagra13,Chagra,-70.19485,1.21653
Chagra21,Chagra,-70.22375,1.26671
Chagra22,Chagra,-70.20649,1.27153
Chagra23,Chagra,-70.21528,1.27049
Chagra31,Chagra,-70.20003,1.16269
Chagra32,Chagra,-70.19859,1.16091
Chagra33,Chagra,-70.19773,1.16486
Urbana11,Urbano,-70.23624,1.24502
Urbana12,Urbano,-70.23499,1.25243
Urbana13,Urbano,-70.23561,1.25377
Urbana21,Urbano,-70.23537,1.24172
Urbana22,Urbano,-70.23376,1.24869
Urbana23,Urbano,-70.23378,1.24478
Urbana31,Urbano,-70.2267,1.2662
Urbana32,Urbano,-70.20974,1.27197
Urbana33,Urbano,-70.22279,1.26253
